"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-01-14","CA","B",31654,,552,,,,22210,0,,4878,34313397,251785,,,,,,2816969,2816969,35930,0,,,,,,,,0,37130366,287715,,,,,,0,37130366,287715
"2021-01-14","CO","A",5316,4632,31,684,20526,20526,903,94,,,1918454,6227,270876,,,,,369177,352308,2403,0,36847,,,,,19560,4895837,38882,4895837,38882,311496,,,,2270762,8390,,0
"2021-01-14","CT","B",6553,5319,17,1234,12257,12257,1118,0,,,4628915,21422,,,,,,221544,208489,968,0,,,,,,9800,,0,4850459,22390,,186893,,,,0,4837404,22171
"2021-01-14","DC","A+",842,,11,,,,287,0,,74,946013,5043,,,,,29,32820,,220,0,,,,,,22899,978833,5263,978833,5263,,,,,375237,1164,,0
"2021-01-14","DE","A+",995,890,1,105,,,466,0,,56,478334,2154,,,,,,68065,65031,892,0,,,,,69690,18851,1089972,8527,1089972,8527,,,,,546399,3046,,0
"2021-01-14","FL","A",23981,,222,,68011,68011,7762,413,,,7887623,37435,578113,560932,13450244,,,1503529,1259047,13381,0,71851,,69600,,1956768,,17282796,134756,17282796,134756,650372,,630838,,9391152,50816,15476773,109483
"2021-01-14","GA","A+",11975,10721,172,1254,45893,45893,5968,360,7869,,5140287,30669,,,,,,660720,660720,6364,0,51320,,,130604,624405,,,0,5801007,37033,419581,,,,,0,5801007,37033
"2021-01-14","GU","B",124,,0,,,,6,0,,3,92766,391,,,,,3,7457,7263,13,0,19,253,,,,7218,,0,100223,404,337,7058,,,,0,100029,404
"2021-01-14","HI","A",318,,6,,1920,1920,104,7,,24,,0,,,,,19,24434,23908,175,0,,,,,23547,11958,888876,5983,888876,5983,,,,,,0,,0
"2021-01-14","IA","A+",4251,,19,,,,532,0,,85,954425,2510,,80258,2055687,,35,254453,254453,1146,0,,50390,10623,47353,275473,262266,,0,1208878,3656,,980719,90921,200217,1211182,3684,2343078,11531
"2021-01-14","ID","A",1564,1378,8,186,6178,6178,338,50,1084,88,444163,2186,,,,,,152364,125036,1091,0,,,,,,68657,,0,569199,2974,,78973,,,569199,2974,909722,6361
"2021-01-14","IL","A",19724,17928,107,1796,,,3511,0,,742,13404938,111384,,,,,382,1052682,,6652,0,,,,,,,,0,14457620,118036,,,,,,0,14457620,118036
"2021-01-14","IN","A+",9202,8830,39,372,37868,37868,2440,189,6610,550,2213797,7925,,,,,280,578494,,4375,0,,,,,656974,373704,,0,6271603,51516,,,,,2792291,12300,6271603,51516
"2021-01-14","KS","A+",3355,,0,,7540,7540,892,0,2027,217,831891,0,,,,413,65,252041,,0,0,,,,,,5026,,0,1083932,0,,,,,1083932,0,,0
"2021-01-14","KY","A+",3042,2813,51,229,15022,15022,1661,130,3312,548,3125868,8699,,,,,196,317345,252694,4063,0,7573,23084,,,206925,39998,,0,3378562,11707,104306,226614,,,,0,3378562,11707
"2021-01-14","LA","A",8080,7631,58,449,,,1975,0,,,4202801,30778,,,,,245,361148,320462,5313,0,,,,,,298614,,0,4563949,36091,,281939,,,,0,4523263,33904
"2021-01-14","MA","A+",13433,13156,74,277,17109,17109,2226,0,,454,3854115,16498,,,,,294,454402,433297,5955,0,,,13369,,520263,324203,,0,12046398,101413,,,143396,415649,4287412,22043,12046398,101413
"2021-01-14","MD","A",6449,6277,45,172,29123,29123,1843,137,,425,2679345,11783,,158859,,,,317815,317815,2948,0,,,20915,,386395,9443,,0,6298178,43825,,,179774,,2997160,14731,6298178,43825
"2021-01-14","ME","A+",461,456,8,5,1217,1217,193,16,,63,1192010,8462,13329,,1186286,,23,31958,26334,808,0,619,6194,,,31313,11840,,0,1223968,9270,13960,119526,,,,0,1218344,9088
"2021-01-14","MI","A+",14511,13672,175,839,,,2238,0,,499,8138266,45873,,,8138266,,258,576573,531004,3295,0,,,,,670672,415079,,0,8714839,49168,459952,,,,,0,8808938,48921
"2021-01-14","MN","A",5817,5606,43,211,23113,23113,645,95,4836,131,2688300,7021,,,,,,441935,424584,1581,0,,,,,,420919,5767323,33345,5767323,33345,,276479,,,3112884,8376,,0
"2021-01-14","MO","A+",6201,,30,,,,2614,0,,588,1706567,4738,106287,91475,3396908,,332,431957,431957,2780,0,16113,56849,10549,,477311,,,0,3882097,23074,122638,480010,113252,213236,2138524,7518,3882097,23074
"2021-01-14","MP","D",2,2,0,,4,4,,0,,,17429,0,,,,,,128,128,0,0,,,,,,29,,0,17557,0,,,,,17542,0,26131,0
"2021-01-14","MS","A+",5356,4066,41,1249,8425,8425,1453,0,,347,1222926,0,,,,,219,245847,160683,1948,0,95,,,,,198888,,0,1468773,1948,66266,522512,,,,0,1381192,0
"2021-01-14","MT","A",1077,,8,,3917,3917,192,14,,36,774317,6901,,,,,21,88110,88110,457,0,,,,,,82190,,0,862427,7358,,,,,,0,862427,7358
"2021-01-14","NC","A+",7825,7230,80,595,,,3990,0,,858,7199242,74136,,,,,,650926,589265,9853,0,,,,,,521475,,0,7850168,83989,,398903,,,,0,7788507,82070
"2021-01-14","ND","B",1372,,8,,3689,3689,78,6,539,10,290753,869,11953,,,,,95378,91651,243,0,1442,,,,,92249,1294101,6580,1294101,6580,13395,66154,,,386131,1112,1369503,7508
